,date_dob,fjc_id,fl_initial,fml_initial,id,name_first,name_last,name_middle,docket_number,pacer_case_id,district_name,query_district_code,docket_padded,docket,title
325,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
326,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
327,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
328,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
329,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
330,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
331,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
332,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:17-cv-8,39370,wiw,wiwd,178,178,"3:17-cv-00008-wmc United States of America v. Real Property Located at 1701 Mulberry Street, Sauk City, Wisconsin, with all appurtenances and improvements thereon (closed 02/06/2018)"
333,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:14-cv-778,35985,wiw,wiwd,1400778,1400778,"3:14-cv-00778-wmc Inguran, LLC v. ABS Global, Inc. (closed 12/04/2014)"
334,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:14-cv-503,35512,wiw,wiwd,1400503,1400503,"3:14-cv-00503-wmc ABS Global, Inc. v. Inguran, LLC"
335,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:17-cv-960,41064,wiw,wiwd,1700960,1700960,3:17-cv-00960-wmc Black Card LLC v. Visa Inc. et al (closed 02/09/2018)
336,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:14-cv-503,35512,wiw,wiwd,1400503,1400503,"3:14-cv-00503-wmc ABS Global, Inc. v. Inguran, LLC"
337,1938-03-31,,wc,wmc,5012,William,Connolly,M.,3:16-cv-469,38648,wiw,wiwd,1600469,1600469,"3:16-cv-00469-wmc Ashley Furniture Industries, Inc. v. Packaging Corporation of America et al (closed 01/10/2019)"
338,1956-01-01,3232.0,wc,wmc,696,William,Conley,Martin,3:17-cv-8,39370,wiw,wiwd,178,178,"3:17-cv-00008-wmc United States of America v. Real Property Located at 1701 Mulberry Street, Sauk City, Wisconsin, with all appurtenances and improvements thereon (closed 02/06/2018)"
339,1956-01-01,3232.0,wc,wmc,696,William,Conley,Martin,3:14-cv-778,35985,wiw,wiwd,1400778,1400778,"3:14-cv-00778-wmc Inguran, LLC v. ABS Global, Inc. (closed 12/04/2014)"
340,1956-01-01,3232.0,wc,wmc,696,William,Conley,Martin,3:14-cv-503,35512,wiw,wiwd,1400503,1400503,"3:14-cv-00503-wmc ABS Global, Inc. v. Inguran, LLC"
