result,docket_padded,docket,district_name
NONE,7500009,7500009,me
NONE,7400017,7400017,me
NONE,0001948,0001948,me
NONE,0130036,0130036,me
NONE,0140105,0140105,me
NONE,0001811,0001811,me
NONE,0001832,0001832,me
NONE,0110079,0110079,me
NONE,0120057,0120057,me
NONE,0001833,0001833,me
NONE,0110133,0110133,me
NONE,0110098,0110098,me
NONE,7102393,7102393,ma
NONE,7301642,7301642,ma
NONE,7502054,7502054,ma
NONE,7703147,7703147,ma
NONE,7900686,7900686,ma
NONE,8002203,8002203,ma
NONE,8101076,8101076,ma
NONE,8101808,8101808,ma
NONE,8102216,8102216,ma
NONE,8102224,8102224,ma
NONE,8200140,8200140,ma
NONE,8200317,8200317,ma
NONE,8200462,8200462,ma
NONE,8201320,8201320,ma
NONE,8202403,8202403,ma
NONE,8203451,8203451,ma
NONE,8300045,8300045,ma
NONE,8300207,8300207,ma
NONE,8301035,8301035,ma
NONE,8301884,8301884,ma
NONE,8303584,8303584,ma
NONE,8304106,8304106,ma
NONE,8304215,8304215,ma
NONE,8401446,8401446,ma
NONE,8401846,8401846,ma
NONE,8402057,8402057,ma
NONE,8402535,8402535,ma
NONE,8404094,8404094,ma
NONE,8000043,8000043,ma
NONE,8200178,8200178,ma
NONE,8300221,8300221,ma
NONE,7602040,7602040,ma
NONE,7603746,7603746,ma
NONE,7703073,7703073,ma
NONE,7800594,7800594,ma
NONE,7801453,7801453,ma
NONE,7901991,7901991,ma
NONE,8000822,8000822,ma
NONE,8002632,8002632,ma
NONE,8100260,8100260,ma
NONE,8101597,8101597,ma
NONE,8200354,8200354,ma
NONE,8200697,8200697,ma
NONE,8201667,8201667,ma
NONE,8201715,8201715,ma
NONE,8202171,8202171,ma
NONE,8202686,8202686,ma
NONE,8202981,8202981,ma
NONE,8300385,8300385,ma
NONE,8300556,8300556,ma
NONE,8302964,8302964,ma
NONE,8303095,8303095,ma
NONE,8000173,8000173,ma
NONE,8000178,8000178,ma
NONE,8200297,8200297,ma
NONE,8300043,8300043,ma
NONE,8300303,8300303,ma
NONE,7404104,7404104,ma
NONE,7502912,7502912,ma
NONE,7703417,7703417,ma
NONE,7800485,7800485,ma
NONE,7901237,7901237,ma
NONE,7901775,7901775,ma
NONE,7901889,7901889,ma
NONE,7902596,7902596,ma
NONE,8002084,8002084,ma
NONE,8002275,8002275,ma
NONE,8002415,8002415,ma
NONE,8100662,8100662,ma
NONE,8100855,8100855,ma
NONE,8100996,8100996,ma
NONE,8101173,8101173,ma
NONE,8101846,8101846,ma
NONE,8102043,8102043,ma
NONE,8102395,8102395,ma
NONE,8102644,8102644,ma
NONE,8102859,8102859,ma
NONE,8200697,8200697,ma
NONE,8203458,8203458,ma
NONE,8000320,8000320,ma
NONE,8100172,8100172,ma
NONE,8200126,8200126,ma
NONE,6500731,6500731,ma
NONE,7404104,7404104,ma
NONE,7504363,7504363,ma
NONE,7504732,7504732,ma
NONE,7604496,7604496,ma
NONE,7700155,7700155,ma
NONE,7702380,7702380,ma
NONE,7703064,7703064,ma
NONE,7703308,7703308,ma
NONE,7703598,7703598,ma
NONE,7900147,7900147,ma
NONE,7900496,7900496,ma
NONE,7901045,7901045,ma
NONE,7901293,7901293,ma
NONE,7901694,7901694,ma
NONE,8000232,8000232,ma
NONE,8001066,8001066,ma
NONE,8001434,8001434,ma
NONE,8001630,8001630,ma
NONE,8001652,8001652,ma
NONE,8001708,8001708,ma
NONE,8001776,8001776,ma
NONE,8001777,8001777,ma
NONE,8001947,8001947,ma
NONE,8002004,8002004,ma
NONE,8002167,8002167,ma
NONE,8002257,8002257,ma
NONE,8002353,8002353,ma
NONE,8002757,8002757,ma
NONE,8002758,8002758,ma
NONE,8002759,8002759,ma
NONE,8002760,8002760,ma
NONE,8002762,8002762,ma
NONE,8002763,8002763,ma
NONE,8002764,8002764,ma
NONE,8002765,8002765,ma
NONE,8002777,8002777,ma
NONE,8002821,8002821,ma
NONE,8002867,8002867,ma
NONE,8002891,8002891,ma
NONE,8100240,8100240,ma
NONE,8100738,8100738,ma
NONE,8100806,8100806,ma
NONE,8100887,8100887,ma
NONE,8101163,8101163,ma
NONE,8101751,8101751,ma
NONE,8103238,8103238,ma
NONE,8100116,8100116,ma
NONE,8200069,8200069,ma
NONE,7000484,7000484,ma
NONE,7202283,7202283,ma
NONE,7202284,7202284,ma
NONE,7202285,7202285,ma
NONE,7202286,7202286,ma
NONE,7202287,7202287,ma
NONE,7203396,7203396,ma
NONE,7203573,7203573,ma
NONE,7302654,7302654,ma
NONE,7304123,7304123,ma
NONE,7401834,7401834,ma
NONE,7402772,7402772,ma
NONE,7405115,7405115,ma
NONE,7500855,7500855,ma
NONE,7501080,7501080,ma
NONE,7502971,7502971,ma
NONE,7503038,7503038,ma
NONE,7503962,7503962,ma
NONE,7504278,7504278,ma
NONE,7601003,7601003,ma
NONE,7603695,7603695,ma
NONE,7604050,7604050,ma
NONE,7604313,7604313,ma
NONE,7604557,7604557,ma
NONE,7700139,7700139,ma
NONE,7700339,7700339,ma
NONE,7701273,7701273,ma
NONE,7701338,7701338,ma
NONE,7701618,7701618,ma
NONE,7701866,7701866,ma
NONE,7702427,7702427,ma
NONE,7703469,7703469,ma
NONE,7800288,7800288,ma
NONE,7800701,7800701,ma
NONE,7802344,7802344,ma
NONE,7802585,7802585,ma
NONE,7802644,7802644,ma
NONE,7803224,7803224,ma
NONE,7900748,7900748,ma
NONE,7900899,7900899,ma
NONE,7901228,7901228,ma
NONE,7901486,7901486,ma
NONE,7901612,7901612,ma
NONE,7901684,7901684,ma
NONE,7901685,7901685,ma
NONE,7902214,7902214,ma
NONE,7902357,7902357,ma
NONE,8000271,8000271,ma
NONE,6800825,6800825,ma
NONE,7203823,7203823,ma
NONE,7500370,7500370,ma
NONE,7600417,7600417,ma
NONE,7602345,7602345,ma
NONE,7700139,7700139,ma
NONE,7701918,7701918,ma
NONE,7702044,7702044,ma
NONE,7702048,7702048,ma
NONE,7703608,7703608,ma
NONE,7800545,7800545,ma
NONE,7802805,7802805,ma
NONE,7803055,7803055,ma
NONE,7803190,7803190,ma
NONE,7803252,7803252,ma
NONE,7900260,7900260,ma
NONE,7900986,7900986,ma
NONE,7901076,7901076,ma
NONE,7901257,7901257,ma
NONE,7901289,7901289,ma
NONE,7901456,7901456,ma
NONE,7901464,7901464,ma
NONE,7901726,7901726,ma
NONE,7902129,7902129,ma
NONE,7902349,7902349,ma
NONE,7902569,7902569,ma
NONE,8000034,8000034,ma
NONE,8000177,8000177,ma
NONE,8000891,8000891,ma
NONE,8001310,8001310,ma
NONE,8001563,8001563,ma
NONE,8002430,8002430,ma
NONE,8002552,8002552,ma
NONE,8002658,8002658,ma
NONE,8000212,8000212,ma
NONE,7100016,7100016,ma
NONE,7200322,7200322,ma
NONE,7203901,7203901,ma
NONE,7301086,7301086,ma
NONE,7301811,7301811,ma
NONE,7303979,7303979,ma
NONE,7401634,7401634,ma
NONE,7402588,7402588,ma
NONE,7405051,7405051,ma
NONE,7405536,7405536,ma
NONE,7405883,7405883,ma
NONE,7500308,7500308,ma
NONE,7500731,7500731,ma
NONE,7600211,7600211,ma
NONE,7600484,7600484,ma
NONE,7601865,7601865,ma
NONE,7602234,7602234,ma
NONE,7603237,7603237,ma
NONE,7603362,7603362,ma
NONE,7701031,7701031,ma
NONE,7701869,7701869,ma
NONE,7702957,7702957,ma
NONE,7800594,7800594,ma
NONE,7801026,7801026,ma
NONE,7801069,7801069,ma
NONE,7801138,7801138,ma
NONE,7801963,7801963,ma
NONE,7802210,7802210,ma
NONE,7803309,7803309,ma
NONE,6801171,6801171,ma
NONE,7300776,7300776,ma
NONE,7300986,7300986,ma
NONE,7402696,7402696,ma
NONE,7501559,7501559,ma
NONE,7501761,7501761,ma
NONE,7502589,7502589,ma
NONE,7503786,7503786,ma
NONE,7600321,7600321,ma
NONE,7603263,7603263,ma
NONE,7603264,7603264,ma
NONE,7603363,7603363,ma
NONE,7603654,7603654,ma
NONE,7603665,7603665,ma
NONE,7604226,7604226,ma
NONE,7700905,7700905,ma
NONE,7701074,7701074,ma
NONE,7701301,7701301,ma
NONE,7701468,7701468,ma
NONE,7702587,7702587,ma
NONE,7000955,7000955,ma
NONE,7200190,7200190,ma
NONE,7201119,7201119,ma
NONE,7201318,7201318,ma
NONE,7202282,7202282,ma
NONE,7304125,7304125,ma
NONE,7400114,7400114,ma
NONE,7401187,7401187,ma
NONE,7401874,7401874,ma
NONE,7404000,7404000,ma
NONE,7500505,7500505,ma
NONE,7500696,7500696,ma
NONE,7500951,7500951,ma
NONE,7501348,7501348,ma
NONE,7502090,7502090,ma
NONE,7503279,7503279,ma
NONE,7504779,7504779,ma
NONE,7505051,7505051,ma
NONE,7600618,7600618,ma
NONE,7601268,7601268,ma
NONE,7700912,7700912,ma
NONE,7700977,7700977,ma
NONE,6800105,6800105,ma
NONE,6800116,6800116,ma
NONE,6800141,6800141,ma
NONE,6800213,6800213,ma
NONE,6800744,6800744,ma
NONE,6901126,6901126,ma
NONE,7001047,7001047,ma
NONE,7100420,7100420,ma
NONE,7102913,7102913,ma
NONE,7200097,7200097,ma
NONE,7200557,7200557,ma
NONE,7201666,7201666,ma
NONE,7201836,7201836,ma
NONE,7201876,7201876,ma
NONE,7202407,7202407,ma
NONE,7202624,7202624,ma
NONE,7300374,7300374,ma
NONE,7300704,7300704,ma
NONE,7301412,7301412,ma
NONE,7301507,7301507,ma
NONE,7301508,7301508,ma
NONE,7302152,7302152,ma
NONE,7302965,7302965,ma
NONE,7400703,7400703,ma
NONE,7401883,7401883,ma
NONE,7401883,7401883,ma
NONE,7402171,7402171,ma
NONE,7404581,7404581,ma
NONE,7405317,7405317,ma
NONE,7405572,7405572,ma
NONE,7405619,7405619,ma
NONE,7500019,7500019,ma
NONE,7500360,7500360,ma
NONE,7500729,7500729,ma
NONE,7501073,7501073,ma
NONE,7502052,7502052,ma
NONE,7502557,7502557,ma
NONE,7502963,7502963,ma
NONE,7503886,7503886,ma
NONE,7504209,7504209,ma
NONE,7504243,7504243,ma
NONE,7504358,7504358,ma
NONE,7600058,7600058,ma
NONE,7602238,7602238,ma
NONE,6300387,6300387,ma
NONE,6700173,6700173,ma
NONE,6800847,6800847,ma
NONE,6900188,6900188,ma
NONE,7000725,7000725,ma
NONE,7001613,7001613,ma
NONE,7101408,7101408,ma
NONE,7102669,7102669,ma
NONE,7200541,7200541,ma
NONE,7203459,7203459,ma
NONE,7203697,7203697,ma
NONE,7203866,7203866,ma
NONE,7301071,7301071,ma
NONE,7301625,7301625,ma
NONE,7301684,7301684,ma
NONE,7301742,7301742,ma
NONE,7302604,7302604,ma
NONE,7303358,7303358,ma
NONE,7400008,7400008,ma
NONE,7400275,7400275,ma
NONE,7401400,7401400,ma
NONE,7401751,7401751,ma
NONE,7402896,7402896,ma
NONE,7405224,7405224,ma
NONE,7405347,7405347,ma
NONE,7500023,7500023,ma
NONE,7800002,7800002,ma
NONE,7800003,7800003,ma
NONE,7800004,7800004,ma
NONE,7800005,7800005,ma
NONE,7800006,7800006,ma
NONE,7800007,7800007,ma
NONE,7800008,7800008,ma
NONE,7800009,7800009,ma
NONE,7800010,7800010,ma
NONE,6500063,6500063,ma
NONE,6800033,6800033,ma
NONE,7000048,7000048,ma
